,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
274, 金银花 , 色青花 山.. ,荷花池,105.00,缺,0.00%,0.00%,-17.97%
275, 金樱子 , 统个 江西 ,荷花池,17.00,慢,0.00%,0.00%,-5.56%
276, 荆芥穗 , 统 河北 ,荷花池,46.00,慢,0.00%,0.00%,43.75%
277, 韭菜子 , 统 较广 ,荷花池,66.00,慢,0.00%,0.00%,10.00%
278, 菊花 , 杭菊胎 浙.. ,荷花池,80.00,慢,0.00%,0.00%,-3.61%
279, 香砂 , 统个 西南 ,荷花池,29.00,平,0.00%,0.00%,-3.33%
280, 苦参 , 统片 内蒙 ,荷花池,13.00,慢,0.00%,0.00%,-40.91%
281, 苦参 , 统片 陕西 ,荷花池,12.00,慢,0.00%,0.00%,-45.45%
282, 苦木 , 统片 云南 ,荷花池,3.50,慢,0.00%,0.00%,0.00%
283, 苦杏仁 , 统 甘肃 ,荷花池,24.00,慢,0.00%,0.00%,-7.69%
284, 款冬花 , 统 甘肃 ,荷花池,90.00,平,0.00%,0.00%,-5.26%
285, 薰衣草 , 统 较广 ,荷花池,32.00,平,0.00%,0.00%,0.00%
286, 莱菔子 , 统 较广 ,荷花池,11.00,慢,0.00%,0.00%,-21.43%
287, 老鹳草 , 统 较广 ,荷花池,3.00,平,0.00%,0.00%,0.00%
288, 雷公藤 , 统片 云南 ,荷花池,7.50,平,0.00%,0.00%,0.00%
289, 连翘 , 青翘水煮统.. ,荷花池,42.00,慢,0.00%,0.00%,-20.75%
290, 连翘 , 黄翘净 河.. ,荷花池,45.00,缺,0.00%,0.00%,-10.00%
291, 莲子心 , 统 湖南 ,荷花池,57.00,平,0.00%,0.00%,-28.75%
292, 细辛 , 净根 辽宁 ,荷花池,245.00,慢,0.00%,0.00%,-20.97%
293, 灵香草 , 统货 云南 ,荷花池,38.00,慢,0.00%,0.00%,0.00%
294, 灵芝 , 家种统个 .. ,荷花池,30.00,慢,0.00%,0.00%,0.00%
295, 凌霄花 , 统 江苏 ,荷花池,47.00,平,0.00%,0.00%,0.00%
296, 北刘寄奴 , 统片 较广 ,荷花池,16.00,慢,0.00%,0.00%,0.00%
297, 神曲 , 统货 ,荷花池,12.00,平,0.00%,0.00%,-7.69%
298, 芦根 , 饮片货 河.. ,荷花池,13.00,平,0.00%,0.00%,0.00%
299, 鹿衔草 , 统货 东北 ,荷花池,26.00,平,0.00%,0.00%,0.00%
300, 路路通 , 去刺统 较.. ,荷花池,5.50,慢,0.00%,0.00%,0.00%
301, 罗汉果 , 大个 广西 ,荷花池,0.65,平,0.00%,0.00%,0.00%
302, 络石藤 , 统 较广 ,荷花池,6.00,慢,0.00%,0.00%,0.00%
303, 麻黄 , 统货 内蒙 ,荷花池,16.00,慢,0.00%,0.00%,0.00%
